"qiitaID","run_prefix"
"13722.58cfa831e4b0c9d6adf6c5a4","TCGA-CN-4739-10A-01D-1509_120420_SN208_0286_BD0T87ACXX_s_3_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c60c","TCGA-CN-5360-01A-01D-1431_120418_SN1222_0098_BD0T68ACXX_s_1_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c5fc","TCGA-CN-5369-01A-01D-1431_120420_SN1120_0134_AC0J8YACXX_s_3_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c60e","TCGA-CQ-6219-01A-11D-1911_120504_SN1222_0101_AC0UMDACXX_s_7_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c5de","TCGA-CN-5364-01A-01D-1431_120418_SN1222_0098_BD0T68ACXX_s_4_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c62e","TCGA-CN-5361-10A-01D-1431_120418_SN1222_0098_BD0T68ACXX_s_6_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c698","TCGA-CN-5366-01A-01D-1431_120420_SN1120_0134_AC0J8YACXX_s_1_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c69a","TCGA-CQ-5329-10A-01D-1681_120425_SN1222_0100_BD0T1VACXX_s_7_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c686","TCGA-CN-4737-10A-01D-1431_120412_SN208_0284_BD0T51ACXX_s_4_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c6fa","TCGA-CQ-7068-10A-01D-2317_120710_SN590_0165_BC0VU7ACXX_s_5_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c71c","TCGA-CV-7414-10A-01D-2317_120710_SN590_0165_BC0VU7ACXX_s_7_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c72c","TCGA-CV-7434-10A-01D-2317_120710_SN590_0165_BC0VU7ACXX_s_8_rg.sorted.filtered."
