"","diseaseType","sampleType","datasetName","metadataName","minorityClassSize","majorityClassSize","minorityClassName","majorityClassName","aucroc","aupr"
"62","Skin Cutaneous Melanoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",158,1685,"Skin Cutaneous Melanoma","OtherCancerType",0.930482409943122,0.610686705819611
"63","Stomach Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",160,1928,"Stomach Adenocarcinoma","OtherCancerType",0.962982987312572,0.81483586692174
"64","Thyroid Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",150,1938,"Thyroid Carcinoma","OtherCancerType",0.95027729967489,0.643324997794414
"65","Uterine Corpus Endometrial Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",158,1930,"Uterine Corpus Endometrial Carcinoma","OtherCancerType",0.959578142799397,0.785334009809767
"66","Uveal Melanoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",51,2037,"Uveal Melanoma","OtherCancerType",0.971358428805237,0.775201097110004
"67","Bladder Urothelial Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",140,1948,"Bladder Urothelial Carcinoma","OtherCancerType",0.970482713633399,0.767374401560683
"68","Brain Lower Grade Glioma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",91,1997,"Brain Lower Grade Glioma","OtherCancerType",0.930810610276387,0.378790903796327
"69","Breast Invasive Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",114,1974,"Breast Invasive Carcinoma","OtherCancerType",0.995528616852146,0.889696416793267
"70","Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",68,2020,"Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma","OtherCancerType",0.960478547854785,0.642445785070537
"71","Colon Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",131,1957,"Colon Adenocarcinoma","OtherCancerType",0.969204560345957,0.727498035184926
"72","Esophageal Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",69,2019,"Esophageal Carcinoma","OtherCancerType",0.992066115702479,0.853085106277843
"73","Glioblastoma Multiforme","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",70,2018,"Glioblastoma Multiforme","OtherCancerType",0.948366784730421,0.721044496437996
"74","Head and Neck Squamous Cell Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",167,1921,"Head and Neck Squamous Cell Carcinoma","OtherCancerType",0.962222222222222,0.847240252648261
"75","Kidney Chromophobe","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",50,2038,"Kidney Chromophobe","OtherCancerType",0.988652482269504,0.669828767511887
"76","Kidney Renal Clear Cell Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",43,2045,"Kidney Renal Clear Cell Carcinoma","OtherCancerType",0.997824904839587,0.897093374095307
"77","Kidney Renal Papillary Cell Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",37,2051,"Kidney Renal Papillary Cell Carcinoma","OtherCancerType",0.966592756836659,0.328989184460481
"78","Liver Hepatocellular Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",54,2034,"Liver Hepatocellular Carcinoma","OtherCancerType",0.95625,0.773410420045265
"79","Lung Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",158,1930,"Lung Adenocarcinoma","OtherCancerType",0.96240767280344,0.843763729202747
"80","Lung Squamous Cell Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",49,2039,"Lung Squamous Cell Carcinoma","OtherCancerType",0.923778349310264,0.474269549165307
"81","Ovarian Serous Cystadenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",67,2021,"Ovarian Serous Cystadenocarcinoma","OtherCancerType",0.959405940594059,0.672878535654392
